Textbox3,ExecutionTime
8/21/2023 5:00:04 AM,8/24/2023 5:38:47 PM

MandantenName,FilialKennung,GeraeteName,GeraeteBaujahr,GeraeteSeriennummer,GeraeteIPAdresse,GeraeteFirmware,GeraeteLastConnectionDatum,Textbox15
LUB,1555,1555_LUB_Lublin_2_E64L_IS600e,2019,10396736,197.76.66.201,"18.04.3839 , 18.4.3839",8/24/2023 12:23:55 PM,Verbindung ok
BYD,1305,1305_BYD_NakLo nad Notecia_2_E3L_WTouch,2021,10442253,197.70.58.200:8323/https://wiesheu-bottom.local,"22.8.0-1572 , 22.3.1",8/24/2023 9:42:07 AM,Verbindung ok
KAT,1199,1199_KAT_Kedzierzyn Kozle_4_E3L_WTouch,2021,10443476,197.68.50.201:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:42:07 AM,Verbindung ok
SZC,1515,1515_SZC_Lobez_3_E64S_IS600e,2018,10360045,197.75.42.202,"19.01.3856 , 19.1.3856",8/24/2023 11:40:34 AM,Verbindung ok
BYD,2065,2065_BYD_ILawa_3_E3S_WTouch,2022,10480309,197.89.82.201:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:30:42 AM,Verbindung ok
LOD,2135,2135_LOD_Rawa Mazowiecka_1_E3S_WTouch,2022,10476545,197.90.122.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:30:42 AM,Verbindung ok
GDA,2004,2004_GDA_Skarszewy_2_E64L_IS600e,2020,10428331,197.87.194.201,"19.01.3856 , 19.1.3856",8/24/2023 12:23:55 PM,Verbindung ok
WRO,1832,1832_WRO_KLodzko_2_E64L_IS600e,2016,10344136,197.82.202.201,"19.01.3856 , 19.1.3856",8/24/2023 12:23:56 PM,Verbindung ok
WAR,1529,1529_WAR_Sulejowek_2_E64L_IS600e,2017,10307224,197.75.138.201,"18.04.3839 , 18.4.3839",8/24/2023 12:25:03 PM,Verbindung ok
KAT,2149,2149_KAT_Buczkowice_3_E3L_WTouch,2023,10489642,197.91.82.201:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:30:42 AM,Verbindung ok
GDA,1807,1807_GDA_Olsztyn_3_E64S_IS600e,2020,10424367,197.86.242.202,"19.01.3856 , 19.1.3856",8/24/2023 11:40:34 AM,Verbindung ok
GDA,1051,1051_GDA_Slupsk_4_E64L_IS600e,2023,NonSerial_0006,197.65.26.203,,,Keine Verbindung
SZC,1086,1086_SZC_Szczecin_3_E3S_WTouch,2021,10441274,197.65.210.201:8323/https://wiesheu-top.local,"21.2.0-811 , 19.2.17",8/24/2023 7:30:42 AM,Verbindung ok
WAR,1529,1529_WAR_Sulejowek_3_E64S_IS600e,2015,10349662,197.75.138.202,"18.04.3839 , 18.4.3839",8/24/2023 11:40:34 AM,Verbindung ok
KAT,1199,1199_KAT_Kedzierzyn Kozle_3_E3S_WTouch,2021,10443650,197.68.50.201:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:30:42 AM,Keine Verbindung
KAT,1765,1765_KAT_Kedzierzyn Kozle_1_E64S_IS600e,2016,10341185,197.81.154.200,"19.01.3856 , 19.1.3856",8/24/2023 11:40:34 AM,Verbindung ok
SZC,1322,1322_SZC_Goleniow_3_E3S_WTouch,2021,10441499,197.70.162.201:8323/https://wiesheu-top.local,"21.8.0-1146 , 19.2.17",,Keine Verbindung
LUB,2138,2138_LUB_Lublin_2_E3L_WTouch,2023,10488624,197.91.58.200:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:42:08 AM,Verbindung ok
LUB,1846,1846_LUB_Ostrowiec swietokrzyski_2_E64L_IS600e,2018,10392219,197.85.154.201,"19.01.3856 , 19.1.3856",8/24/2023 12:25:03 PM,Keine Verbindung
KAT,2165,2165_KAT_PawLowice_3_E3S_WTouch,2022,10477070,197.90.146.201:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:30:42 AM,Verbindung ok
SZC,1838,1838_SZC_Warzymice_1_E64S_IS600e,2016,10342057,197.82.218.200,"19.01.3856 , 19.1.3856",8/24/2023 11:40:34 AM,Verbindung ok
KAT,1625,1625_KAT_Rybnik_4_E64L_IS600e,2019,10394924,197.78.26.203,"19.01.3856 , 19.1.3856",8/24/2023 12:25:03 PM,Verbindung ok
WAR,2030,2030_WAR_Warka_4_E3L_WTouch,2022,10469646,197.89.74.201:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.1.0",8/24/2023 9:42:09 AM,Verbindung ok
GDA,1051,1051_GDA_Slupsk_2_E64L_IS600e,2023,NonSerial_0004,197.65.26.201,,,Keine Verbindung
WAR,1219,1219_WAR_Bielsk Podlaski_1_E64S_IS600e,2018,10374489,197.68.130.200,"19.01.3856 , 19.1.3856",8/24/2023 11:40:34 AM,Verbindung ok
KRA,1612,1612_KRA_Rzeszow_3_E64S_IS600e,2017,10330329,197.77.202.202,"18.04.3839 , 18.4.3839",8/24/2023 11:40:34 AM,Verbindung ok
LUB,1507,1507_LUB_Hrubieszow_1_E64S_IS600e,2017,10347701,197.74.250.200,"18.04.3839 , 18.4.3839",8/24/2023 11:40:34 AM,Verbindung ok
GDA,2040,2040_GDA_Starogard Gdanski_4_E3S_WTouch,2023,10486435,197.91.10.201:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:45:26 AM,Verbindung ok
SZC,1074,1074_SZC_Szczecin_1_E3S_WTouch,2021,10441648,197.65.122.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:30:42 AM,Verbindung ok
WRO,1024,1024_WRO_Strzegom_4_E64L_IS600e,2016,10330322,197.64.114.203,"19.01.3856 , 19.1.3856",8/24/2023 12:25:03 PM,Verbindung ok
LOD,1041,1041_LOD_Lodz_2_E3L_WTouch,2021,10439985,197.64.226.200:8323/https://wiesheu-bottom.local,"21.2.0-811 , 19.2.17",8/5/2023 9:21:56 AM,Keine Verbindung
LUB,1108,1108_LUB_Ostrowiec_1_E64S_IS600e,2018,10338608,197.66.82.200,"18.04.3839 , 18.4.3839",8/24/2023 11:40:35 AM,Verbindung ok
WRO,1883,1883_WRO_Bielany WrocLawskie_4_E64L_IS600e,2018,10368052,197.83.210.203,"19.01.3856 , 19.1.3856",,Keine Verbindung
BYD,1674,1674_BYD_Bydgoszcz_3_E64S_IS600e,2019,10394580,197.79.98.202,"19.01.3856 , 19.1.3856",8/24/2023 11:41:24 AM,Verbindung ok
KAT,1940,1940_KAT_MysLowice_3_E64S_IS600e,2020,10426038,197.87.114.202,"19.01.3856 , 19.1.3856",8/24/2023 11:41:24 AM,Verbindung ok
POZ,2161,2161_POZ_Baranowo_1_E3S_WTouch,2023,10495137,197.91.154.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:33:27 AM,Verbindung ok
GDA,1480,1480_GDA_Gdynia_2_E3L_WTouch,2021,10443086,197.74.66.200:8323/https://wiesheu-bottom.local,"20.4.0-653 , 19.2.17",8/24/2023 9:45:26 AM,Verbindung ok
WRO,2062,2062_WRO_Ostrzeszow_2_E3L_Wtouch,2023,10487585,197.91.146.200:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:45:26 AM,Verbindung ok
POZ,1816,1816_POZ_Poznan_2_E64L_IS600e,2017,10350056,197.82.122.201,"19.01.3856 , 19.1.3856",8/24/2023 12:25:03 PM,Verbindung ok
GDA,1271,1271_GDA_Rumia_4_E3L_WTouch,2021,10443027,197.69.146.201:8323/https://wiesheu-bottom.local,"20.4.0-653 , 19.2.17",8/24/2023 9:45:26 AM,Verbindung ok
GDA,1788,1788_GDA_Starogard Gdanski_3_E64S_IS600e,2016,10341568,197.82.18.202,"19.01.3856 , 19.1.3856",8/24/2023 11:41:24 AM,Verbindung ok
TAR,2043,2043_TAR_Krakow_3_E3L_WTouch,2023,10474425,197.90.210.201:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:33:27 AM,Verbindung ok
WRO,1068,1068_WRO_WrocLaw_1_E64S_IS600e,2017,10305651,197.65.98.200,"19.01.3856 , 19.1.3856",8/24/2023 11:41:24 AM,Verbindung ok
WAR,2028,2028_WAR_Warszawa_4_E3L_WTouch,2020,10435198,197.88.114.201:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:45:26 AM,Verbindung ok
POZ,1018,1018_POZ_Krotoszyn_1_E3S_WTouch,2021,10443911,197.64.66.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:33:27 AM,Verbindung ok
LOD,1969,1969_LOD_Lodz (Galeria)_3_E64S_IS600e,2018,10391099,197.85.98.202,"19.01.3856 , 19.1.3856",8/24/2023 11:41:24 AM,Keine Verbindung
WRO,1106,1106_WRO_Wroclaw_2_E64L_IS600e,2017,10349702,197.66.74.201,"19.01.3856 , 19.1.3856",8/24/2023 12:25:04 PM,Verbindung ok
GDA,1481,1481_GDA_Koscierzyna_4_E64L_IS600e,2017,10349951,197.74.74.203,"19.01.3856 , 19.1.3856",8/24/2023 12:25:05 PM,Verbindung ok
WAR,1413,1413_WAR_Siemiatycze_2_E64L_IS600e,2019,10396750,197.72.146.201,"19.01.3856 , 19.1.3856",8/24/2023 12:26:00 PM,Verbindung ok
WAR,1370,1370_WAR_Nidzica_2_E3L_WTouch,2021,10441289,197.71.162.200:8323/https://wiesheu-bottom.local,"21.6.0-1062 , 21.1.0",8/24/2023 9:45:26 AM,Verbindung ok
BYD,1574,1574_BYD_Chojnice_1_E64S_IS600e,2018,10389843,197.76.194.200,"19.01.3856 , 19.1.3856",8/24/2023 11:41:24 AM,Verbindung ok
BYD,1158,1158_BYD_Bydgoszcz_1_E64S_IS600e,2017,10349722,197.67.82.200,"19.01.3856 , 19.1.3856",8/24/2023 11:41:24 AM,Verbindung ok
KAT,1187,1187_KAT_Tychy_4_E3L_WTouch,2021,10443055,197.67.242.201:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:45:26 AM,Verbindung ok
SZC,1086,1086_SZC_Szczecin_1_E3S_WTouch,2021,10441272,197.65.210.200:8323/https://wiesheu-top.local,"21.2.0-811 , 19.2.17",8/24/2023 7:33:27 AM,Verbindung ok
GDA,2112,2112_GDA_Barczewo_4_E3L_WTouch,2022,10473925,197.90.234.201:8323/https://wiesheu-bottom.local,"22.8.0-1572 , 22.3.1",8/24/2023 9:45:26 AM,Verbindung ok
GDA,1757,1757_GDA_Gdansk_1_E3S_WTouch,2021,10442764,197.81.114.200:8323/https://wiesheu-top.local,"22.8.0-1572 , 22.3.1",8/24/2023 7:33:27 AM,Verbindung ok
POZ,1523,1523_POZ_Wschowa_4_E64L_IS600e,2018,10372153,197.75.98.203,"19.01.3856 , 19.1.3856",8/24/2023 12:26:00 PM,Verbindung ok
KRA,1578,1578_KRA_Krakow_3_E3S_WTouch,2021,10439284,197.76.226.201:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:33:27 AM,Verbindung ok
WAR,1963,1963_WAR_Warszawa_4_E3L_WTouch,2021,10436567,197.88.210.201:8323/https://wiesheu-bottom.local,"20.4.0-653 , 21.1.0",8/24/2023 9:45:26 AM,Verbindung ok
WRO,1909,1909_WRO_WrocLaw_3_E64S_IS600e,2018,10377761,197.84.26.202,"19.01.3856 , 19.1.3856",8/24/2023 11:41:24 AM,Verbindung ok
KAT,1973,1973_KAT_Gliwice_3_E3L_WTouch,2023,10487505,197.91.26.201:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:33:27 AM,Verbindung ok
WAR,2001,2001_WAR_Warszawa_3_E3S_WTouch,2021,10436527,197.88.162.201:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.1.0",8/24/2023 7:33:27 AM,Verbindung ok
WAR,1219,1219_WAR_Bielsk Podlaski_2_E64L_IS600e,2018,10374488,197.68.130.201,"19.01.3856 , 19.1.3856",8/24/2023 12:26:00 PM,Verbindung ok
GDA,2040,2040_GDA_Starogard Gdanski_1_E3S_WTouch,2023,10486434,197.91.10.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:33:27 AM,Verbindung ok
KAT,1961,1961_KAT_Zory_4_E3L_WTouch,2020,10427913,197.87.98.201:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/22/2023 9:57:11 AM,Keine Verbindung
KAT,1035,1035_KAT_Jastrzebie Zdroj_1_E64S_IS600e,2017,10347278,197.64.178.200,"19.01.3856 , 19.1.3856",8/24/2023 11:41:24 AM,Verbindung ok
SZC,1135,1135_SZC_Szczecin_2_E3L_WTouch,2021,10441263,197.66.218.200:8323/https://wiesheu-bottom.local,"22.8.0-1572 , 22.3.1",8/24/2023 9:48:12 AM,Verbindung ok
STY,2125,2125_STY_Otrebusy_4_E3L_WTouch,2023,10496221,197.92.114.201:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:48:12 AM,Verbindung ok
KAT,1057,1057_KAT_Katowice_1_E3S_WTouch,2021,10452629,197.65.50.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:33:27 AM,Verbindung ok
SZC,1615,1615_SZC_Szczecin_3_E3S_WTouch,2021,10441494,197.77.226.201:8323/https://wiesheu-top.local,"22.8.0-1572 , 22.3.1",8/24/2023 7:36:13 AM,Verbindung ok
SZC,2081,2081_SZC_SLawno_3_E3S_WTouch,2022,10476326,197.88.50.201:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:36:13 AM,Verbindung ok
BYD,1471,1471_BYD_Czersk_3_E3S_WTouch,2021,10442635,197.74.10.201:8323/https://wiesheu-top.local,"22.8.0-1572 , 22.3.1",8/24/2023 7:36:13 AM,Verbindung ok
LUB,1482,1482_LUB_Lublin_2_E3L_WTouch,2021,10440505,197.74.82.200:8323/https://wiesheu-bottom.local,"21.1.96-758 , 21.1.0",8/24/2023 9:48:12 AM,Verbindung ok
BYD,1567,1567_BYD_Solec Kujawski_1_E64S_IS600e,2016,10340461,197.76.138.200,"19.01.3856 , 19.1.3856",8/24/2023 11:41:24 AM,Verbindung ok
WAR,1834,1834_WAR_Radzymin_2_E64L_IS600e,2018,10367379,197.83.130.201,"19.01.3856 , 19.1.3856",8/24/2023 12:26:01 PM,Verbindung ok
WRO,1024,1024_WRO_Strzegom_3_E64S_IS600e,2016,10330344,197.64.114.202,"19.01.3856 , 19.1.3856",8/24/2023 11:42:05 AM,Verbindung ok
SZC,1895,1895_SZC_Koszalin_2_E64L_IS600e,2017,10355185,197.83.90.201,"19.01.3856 , 19.1.3856",8/24/2023 12:26:02 PM,Verbindung ok
BYD,1157,1157_BYD_Torun _1_E3S_WTouch,2021,10442239,197.67.74.200:8323/https://wiesheu-top.local,"22.8.0-1572 , 22.3.1",8/24/2023 7:36:13 AM,Verbindung ok
BYD,1873,1873_BYD_InowrocLaw_4_E64L_IS600e,2018,10368770,197.83.186.203,"19.01.3856 , 19.1.3856",8/24/2023 12:26:03 PM,Verbindung ok
LUB,1886,1886_LUB_Zamos?_2_E64L_IS600e,2016,10343522,197.83.34.201,"18.04.3839 , 18.4.3839",8/24/2023 12:26:05 PM,Verbindung ok
WAR,1099,1099_WAR_Warszawa_1_E3S_WTouch,2021,10441284,197.66.18.200:8323/https://wiesheu-top.local,"22.8.0-1572 , 22.3.1",8/24/2023 7:36:13 AM,Verbindung ok
LUB,2162,2162_LUB_Lublin_2_E3L_WTouch,2022,10483956,197.90.250.200:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:48:12 AM,Verbindung ok
SZC,1091,1091_SZC_Gorzow_1_E64S_IS600e,2019,10396722,197.65.226.200,"19.01.3856 , 19.1.3856",8/24/2023 11:42:05 AM,Verbindung ok
WAR,1418,1418_WAR_Lubartow_4_E64L_IS600e,2017,10361771,197.72.178.203,"19.01.3856 , 19.1.3856",8/24/2023 12:26:06 PM,Verbindung ok
WRO,1120,1120_WRO_WrocLaw_1_E3S_WTouch,2021,10443753,197.66.138.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:36:13 AM,Verbindung ok
POZ,2126,2126_POZ_Poznan_3_E3S_WTouch,2022,10484036,197.90.82.201:8323/https://wiesheu-top.local,"23.2.0-1652 , 22.3.1",8/24/2023 7:36:13 AM,Verbindung ok
POZ,2019,2019_POZ_Nowy Tomysl_3_E3L_WTouch,2023,10487518,197.91.42.201:8323/https://wiesheu-top.local,"22.8.0-1572 , 22.3.1",8/24/2023 7:36:13 AM,Verbindung ok
KAT,1643,1643_KAT_Opole_4_E64L_IS600e,2019,10395197,197.78.138.203,"19.01.3856 , 19.1.3856",8/24/2023 12:26:07 PM,Verbindung ok
SZC,1840,1840_SZC_Miedzyzdroje_6_E3L_WTouch,2021,10452625,197.82.226.202:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:48:12 AM,Verbindung ok
GDA,1309,1309_GDA_Gdansk _1_E64S_IS600e,2019,10395729,197.70.90.200,"19.01.3856 , 19.1.3856",8/24/2023 11:42:05 AM,Verbindung ok
KRA,1105,1105_KRA_Busko Zdroj_1_E3S_WTouch,2021,10439050,197.66.66.200:8323/https://wiesheu-top.local,"20.4.0-653 , 19.2.17",8/24/2023 7:36:13 AM,Verbindung ok
KRA,1870,1870_KRA_Krakow_2_E64L_IS600e,2019,10372763,197.84.114.201,"19.01.3856 , 19.1.3856",8/24/2023 12:26:08 PM,Verbindung ok
WAR,1709,1709_WAR_Warszawa_3_E3S_WTouch,2020,10432445,197.86.26.201:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:36:13 AM,Verbindung ok
SZC,1454,1454_SZC_KoLobrzeg_3_E3S_WTouch,2021,10440518,197.73.162.201:8323/https://wiesheu-top.local,"21.6.0-1062 , 19.2.17",8/24/2023 7:38:59 AM,Verbindung ok
BYD,1882,1882_BYD_Bydgoszcz_2_E64L_IS600e,2018,10367707,197.83.202.201,"19.01.3856 , 19.1.3856",8/24/2023 12:27:06 PM,Verbindung ok
WRO,1425,1425_WRO_Gubin_2_E64L_IS600e,2017,10347670,197.72.234.201,"19.01.3856 , 19.1.3856",8/24/2023 12:27:06 PM,Verbindung ok
BYD,1894,1894_BYD_Bydgoszcz _2_E3L_WTouch,2021,10442233,197.83.82.200:8323/https://wiesheu-bottom.local,"21.2.0-811 , 21.3.1",8/24/2023 9:48:12 AM,Verbindung ok
GDA,1480,1480_GDA_Gdynia_3_E3S_WTouch,2021,10443335,197.74.66.201:8323/https://wiesheu-top.local,"20.4.0-653 , 19.2.17",8/24/2023 7:38:59 AM,Verbindung ok
BYD,1366,1366_BYD_PiLa_2_E64L_IS600e,2017,10360049,197.71.138.201,"19.01.3856 , 19.1.3856",8/24/2023 12:27:07 PM,Verbindung ok
KRA,1985,1985_KRA_Krakow_1_E64S_IS600e,2020,10423388,197.86.122.200,"19.01.3856 , 19.1.3856",8/24/2023 11:42:05 AM,Verbindung ok
SZC,1560,1560_SZC_Mysliborz_2_E64L_IS600e,2016,10339053,197.76.90.201,"19.01.3856 , 19.1.3856",8/24/2023 12:27:08 PM,Verbindung ok
KAT,1820,1820_KAT_Zabrze_3_E64S_IS600e,2016,10342053,197.82.138.202,"19.01.3856 , 19.1.3856",8/24/2023 11:42:05 AM,Verbindung ok
KAT,1986,1986_KAT_Katowice_4_E3L_WTouch,2021,10436532,197.88.154.201:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:48:12 AM,Verbindung ok
KRA,1612,1612_KRA_Rzeszow_2_E64L_IS600e,2017,10347825,197.77.202.201,"19.01.3856 , 19.1.3856",8/24/2023 12:27:09 PM,Verbindung ok
KRA,1571,1571_KRA_Krakow_3_E3S_WTouch,2021,10443060,197.76.170.201:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.1.0",8/24/2023 7:38:59 AM,Verbindung ok
GDA,1272,1272_GDA_Wejherowo_1_E64S_IS600e,2018,10394542,197.69.154.200,"19.01.3856 , 19.1.3856",8/24/2023 11:42:05 AM,Verbindung ok
POZ,1967,1967_POZ_Trzcianka_3_E64S_IS600e,2020,10429995,197.87.10.202,"22.01.3879 , 22.1.3879",8/24/2023 11:42:05 AM,Verbindung ok
GDA,1947,1947_GDA_Reda_2_E3L_WTouch,2021,10437338,197.88.170.200:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 19.2.17",8/24/2023 9:48:12 AM,Verbindung ok
WRO,1311,1311_WRO_WrocLaw_1_E3S_WTouch,2021,10443752,197.70.106.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:38:59 AM,Verbindung ok
KAT,1194,1194_KAT_Bytom_4_E64L_IS600e,2017,10347674,197.68.26.203,"19.01.3856 , 19.1.3856",8/24/2023 12:27:10 PM,Verbindung ok
WAR,2102,2102_WAR_BiaLystok_4_E3S_WTouch,2023,10496760,197.91.226.201:8323/https://wiesheu-bottom.local,"22.8.0-1572 , 22.3.1",8/24/2023 9:48:12 AM,Verbindung ok
KAT,1600,1600_KAT_Zabrze_3_E64S_IS600e,2019,10394824,197.77.130.202,"19.01.3856 , 19.1.3856",8/24/2023 11:42:05 AM,Verbindung ok
KAT,1696,1696_KAT_Tychy_1_E3S_WTouch,2021,10442063,197.79.234.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:38:59 AM,Verbindung ok
POZ,1231,1231_POZ_Poznan_3_E64S_IS600e,2018,10372359,197.68.178.202,"22.01.3879 , 22.1.3879",8/24/2023 11:42:05 AM,Verbindung ok
WAR,1452,1452_WAR_Warszawa_3_E64S_IS600e,2015,10310101,197.73.146.202,"18.04.3839 , 18.4.3839",8/24/2023 11:42:05 AM,Verbindung ok
WRO,1126,1126_WRO_Walbrzych_1_E64S_IS600e,2017,10309681,197.66.178.200,"19.01.3856 , 19.1.3856",8/24/2023 11:44:10 AM,Verbindung ok
WAR,1738,1738_WAR_BiaLystok_3_E64S_IS600e,2020,10417403,197.86.202.202,"19.01.3856 , 19.1.3856",8/24/2023 11:44:10 AM,Verbindung ok
POZ,2050,2050_POZ_Rogozno_1_E3S_WTouch,2021,10436581,197.88.194.200:8323/https://wiesheu-top.local,"23.2.0-1652 , 22.3.1",8/24/2023 7:38:59 AM,Verbindung ok
WAR,1920,1920_WAR_Zielonka_4_E3L_WTouch,2020,10433458,197.87.210.201:8323/https://wiesheu-bottom.local,"22.8.0-1572 , 22.3.1",8/24/2023 9:56:17 AM,Verbindung ok
KAT,2064,2064_KAT_Zywiec_1_E3S_WTouch,2022,10467150,197.89.170.200:8323/https://wiesheu-top.local,"21.6.0-1062 , 21.1.0",8/24/2023 7:38:59 AM,Verbindung ok
BYD,1567,1567_BYD_Solec Kujawski_3_E64S_IS600e,2016,10340484,197.76.138.202,"19.01.3856 , 19.1.3856",8/24/2023 11:44:10 AM,Verbindung ok
POZ,1827,1827_POZ_Poznan_5_E64S_IS600e,2016,10340042,197.82.178.204,"18.04.3839 , 18.4.3839",,Keine Verbindung
WAR,1370,1370_WAR_Nidzica_3_E3S_WTouch,2021,10441491,197.71.162.201:8323/https://wiesheu-top.local,"21.6.0-1062 , 21.1.0",8/24/2023 7:38:59 AM,Verbindung ok
KRA,1084,1084_KRA_Rzeszow_2_E64L_IS600e,2019,10396059,197.65.202.201,"18.04.3839 , 18.4.3839",8/24/2023 12:27:11 PM,Verbindung ok
KRA,1843,1843_KRA_NiepoLomice_1_E64S_IS600e,2016,10338485,197.82.242.200,"18.04.3839 , 18.4.3839",8/24/2023 11:44:10 AM,Verbindung ok
LUB,1819,1819_LUB_Lublin_4_E64L_IS600e,2017,10361783,197.83.122.203,"19.01.3856 , 19.1.3856",8/24/2023 12:27:12 PM,Verbindung ok
WAR,1331,1331_WAR_Radzyn Podlaski_4_E64L_IS600e,2018,10373745,197.70.210.203,"19.01.3856 , 19.1.3856",8/24/2023 12:27:13 PM,Verbindung ok
WAR,2102,2102_WAR_BiaLystok_3_E3L_WTouch,2023,10496740,197.91.226.201:8323/https://wiesheu-top.local,"22.8.0-1572 , 22.3.1",8/24/2023 7:38:59 AM,Verbindung ok
SZC,1274,1274_SZC_swinoujscie_1_E3S_WTouch,2021,10440925,197.69.170.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.1.0",8/24/2023 7:38:59 AM,Verbindung ok
LOD,1924,1924_LOD_Konin_2_E64L_IS600e,2018,10379356,197.84.50.201,"18.04.3839 , 18.4.3839",8/24/2023 12:27:14 PM,Verbindung ok
KAT,2113,2113_KAT_swierklaniec_1_E3S_WTouch,2023,10489590,197.91.98.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:41:46 AM,Verbindung ok
LOD,1811,1811_LOD_Lodz_1_E64S_IS600e,2017,10355942,197.82.98.200,"19.01.3856 , 19.1.3856",8/24/2023 11:44:10 AM,Verbindung ok
BYD,2101,2101_BYD_Koronowo_4_E3L_WTouch,2022,10477155,197.90.242.201:8323/https://wiesheu-bottom.local,"22.8.0-1572 , 22.3.1",8/24/2023 9:56:17 AM,Verbindung ok
LOD,1830,1830_LOD_Lodz_1_E64S_IS600e,2018,10380425,197.84.42.200,"19.01.3856 , 19.1.3856",8/24/2023 11:44:10 AM,Verbindung ok
WRO,1856,1856_WRO_Kudowa Zdroj_4_E64L_IS600e,2018,10380660,197.84.58.203,"19.01.3856 , 19.1.3856",8/24/2023 12:27:45 PM,Verbindung ok
GDA,1538,1538_GDA_Nowy Dwor Gdanski_2_E3L_WTouch,2021,10442784,197.75.202.200:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:56:17 AM,Verbindung ok
KAT,1057,1057_KAT_Katowice_2_E3L_WTouch,2021,10452633,197.65.50.200:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:56:17 AM,Verbindung ok
KAT,1576,1576_KAT_Sosnowiec_3_E64S_IS600e,2017,10348515,197.76.210.202,"19.01.3856 , 19.1.3856",8/24/2023 11:44:10 AM,Verbindung ok
WAR,1661,1661_WAR_BiaLystok_4_E64L_IS600e,2019,10396932,197.79.2.203,"19.01.3856 , 19.1.3856",8/24/2023 12:27:45 PM,Verbindung ok
WRO,1186,1186_WRO_WrocLaw_3_E64S_IS600e,2015,10309698,197.67.234.202,"19.01.3856 , 19.1.3856",8/24/2023 11:44:10 AM,Verbindung ok
GDA,1046,1046_GDA_Bytow_2_E3L_WTouch,2021,10442789,197.65.2.200:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:56:17 AM,Verbindung ok
SZC,1656,1656_SZC_Szczecin_3_E64S_IS600e,2018,10392067,197.84.218.202,"18.04.3839 , 18.4.3839",8/24/2023 11:44:10 AM,Verbindung ok
WRO,1984,1984_WRO_Jelcz-Laskowice_1_E3S_WTouch,2020,10432453,197.87.50.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:41:46 AM,Verbindung ok
WRO,1871,1871_WRO_WrocLaw_3_E64S_IS600e,2018,10370105,197.84.10.202,"19.01.3856 , 19.1.3856",8/24/2023 11:44:55 AM,Verbindung ok
POZ,2019,2019_POZ_Nowy Tomysl_2_E3L_WTouch,2023,10487519,197.91.42.200:8323/https://wiesheu-bottom.local,"22.8.0-1572 , 22.3.1",8/24/2023 9:56:17 AM,Verbindung ok
