Textbox3,ExecutionTime
8/21/2023 5:00:04 AM,8/24/2023 5:38:47 PM

MandantenName,FilialKennung,GeraeteName,GeraeteBaujahr,GeraeteSeriennummer,GeraeteIPAdresse,GeraeteFirmware,GeraeteLastConnectionDatum,Textbox15
SZC,1454,1454_SZC_KoLobrzeg_5_E3S_WTouch,2021,10441022,197.73.162.202:8323/https://wiesheu-top.local,"21.8.0-1146 , 19.2.17",8/24/2023 7:00:59 AM,Verbindung ok
BYD,1875,1875_BYD_Bydgoszcz_3_E64S_IS600e,2020,10429998,197.87.74.202,"19.01.3856 , 19.1.3856",8/24/2023 11:31:53 AM,Verbindung ok
POZ,1708,1708_POZ_Poznan_4_E3L_WTouch,2021,10443349,197.80.58.201:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",,Keine Verbindung
WAR,1996,1996_WAR_Lesznowola_1_E3S_WTouch,2020,10434005,197.87.234.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.1.0",8/24/2023 7:01:00 AM,Verbindung ok
LUB,1095,1095_LUB_Lublin_1_E64S_IS600e,2019,10396461,197.66.2.200,"18.04.3839 , 18.4.3839",8/24/2023 11:31:53 AM,Verbindung ok
KRA,1870,1870_KRA_Krakow_4_E64L_IS600e,2019,10372760,197.84.114.203,"19.01.3856 , 19.1.3856",8/24/2023 12:16:02 PM,Verbindung ok
GDA,1901,1901_GDA_Gdansk_3_E64S_IS600e,2018,10389101,197.84.146.202,"19.01.3856 , 19.1.3856",8/24/2023 11:31:53 AM,Verbindung ok
WAR,1439,1439_WAR_WLodawa_1_E64S_IS600e,2018,10374264,197.73.66.200,,,Keine Verbindung
WRO,1650,1650_WRO_WrocLaw_4_E64L_IS600e,2019,10371755,197.78.186.203,"19.01.3856 , 19.1.3856",8/24/2023 12:17:02 PM,Verbindung ok
WAR,1294,1294_WAR_Deblin_3_E3S_WTouch,2021,10439384,197.69.250.201:8323/https://wiesheu-top.local,"22.8.0-1572 , 22.3.1",8/22/2023 7:01:39 AM,Verbindung ok
GDA,1947,1947_GDA_Reda_1_E3S_WTouch,2021,10437335,197.88.170.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:01:03 AM,Verbindung ok
SZC,1515,1515_SZC_Lobez_4_E64L_IS600e,2018,10360046,197.75.42.203,"19.01.3856 , 19.1.3856",8/24/2023 12:17:03 PM,Verbindung ok
KAT,1990,1990_KAT_Opole_4_E3L_WTouch,2020,10435278,197.87.34.201:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:13:54 AM,Verbindung ok
KAT,1585,1585_KAT_Katowice_2_E3L_WTouch,2021,10444042,197.77.26.200:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:13:54 AM,Verbindung ok
LUB,1819,1819_LUB_Lublin_2_E64L_IS600e,2017,10361784,197.83.122.201,"18.04.3839 , 18.4.3839",8/24/2023 12:17:04 PM,Verbindung ok
KAT,1297,1297_KAT_Chrzanow_3_E64S_IS600e,2018,10371107,197.70.10.202,"18.04.3839 , 18.4.3839",8/24/2023 11:31:53 AM,Verbindung ok
BYD,1278,1278_BYD_Serpc_4_E3L_WTouch,2021,10442502,197.69.178.201:8323/https://wiesheu-bottom.local,"21.7.30-1076 , 21.3.1",8/24/2023 9:13:55 AM,Verbindung ok
GDA,2004,2004_GDA_Skarszewy_1_E64S_IS600e,2020,10428336,197.87.194.200,"19.01.3856 , 19.1.3856",8/24/2023 11:31:53 AM,Verbindung ok
WRO,1106,1106_WRO_Wroclaw_1_E64S_IS600e,2017,10349703,197.66.74.200,"19.01.3856 , 19.1.3856",8/24/2023 11:32:27 AM,Verbindung ok
